survey_id	zone	node_id	sequence	x	z	y	event	label	neighbors	source	confidence
20260712-170700-z102	102	2024	2024	75.511	-632.876	31.914	point		2023,2025	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2025	2025	74.740	-630.583	31.831	point		2024,2026	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2026	2026	73.996	-627.583	31.748	point		2025,2027	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2027	2027	73.596	-625.564	31.552	point		2026,2028	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2028	2028	73.058	-622.528	31.596	point		2027,2029	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2029	2029	72.712	-620.498	31.611	point		2028,2030	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2030	2030	72.201	-617.456	31.481	point		2029,2031	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2031	2031	71.805	-615.090	31.356	point		2030,2032	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2032	2032	71.298	-612.052	31.141	point		2031,2033	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2033	2033	70.961	-610.039	31.510	point		2032,2034	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2034	2034	70.456	-607.013	31.896	point		2033,2035	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2035	2035	70.116	-604.995	32.133	point		2034,2036	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2036	2036	69.472	-601.985	32.325	point		2035,2037	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2037	2037	68.762	-599.658	32.369	point		2036,2038	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2038	2038	67.712	-596.758	32.438	point		2037,2039	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2039	2039	66.988	-594.840	32.430	point		2038,2040	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2040	2040	65.885	-591.976	32.347	point		2039,2041	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2041	2041	65.144	-590.062	32.123	point		2040,2042	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2042	2042	64.033	-587.196	31.988	point		2041,2043	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2043	2043	63.168	-584.967	31.702	point		2042,2044	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2044	2044	62.428	-583.058	31.362	point		2043,2045	live-route-recording-20260712-170700-z102	proven
20260712-170700-z102	102	2045	2045	61.250	-580.021	29.864	point		2044,2046	live-route-recording-20260712-170700-z102	proven
